,headlines,text
845,Air India privatisation is 'unpatriotic': Former employees,"An employees union of retired Air India personnel on Wednesday termed the airline's privatisation as ""unpatriotic"" and ""illogical"" in a letter to the Civil Aviation Ministry. The union said the decision is taken in haste, at a time when the airline is on the verge of becoming profitable. It also proposed that the government waive Air India's ?52,000-crore debt."
846,Didn't quit Twitter after reactions on GoT cameo: Sheeran,"Singer Ed Sheeran revealed that he didn't quit Twitter after being slammed for his cameo in the seventh season of HBO television series Game of Thrones. ""I'm in Game of Thrones, why the hell would I worry what people thought about that...timing was just a coincidence, but believe what you want,"" wrote Sheeran in an Instagram post."
847,Airlines can't impose flying ban on anyone: RS Dy Chairman,"Rajya Sabha Deputy Chairman PJ Kurien on Thursday said airlines have no authority to impose a flying ban on anybody, including parliamentarians. The remark came in response to the issue raised by MP Naresh Agrawal about the recent bans on parliamentarians. If any MP does something against the law, the law of the land should take its course, Kurien added."
848,Flyers can claim refund of excess levy at Delhi airport,"Passengers flying to and from Delhi's Indira Gandhi International (IGI) Airport can claim a refund of excess airport charges paid as part of their airfare for travel after July 7, according to reports. This comes after a recent tariff order slashing User Development Fee (UDF) for domestic passengers to ?10 from ?275-550, and to ?45 for international passengers from ?635-1,270."
849,Non-veg food to be unavailable in Greater Noida for a week,"Uttar Pradesh Police on Wednesday asked local vendors and restaurant owners in Greater Noida not to prepare or serve non-vegetarian food for a week during the period of Kanwar Yatra. Reportedly, the police have taken this decision because the number of pilgrims returning from Haridwar has increased this year and they only prefer vegetarian food. "
850,Chinese agents bar access to 'free' wife of Nobel laureate,"Journalists were barred access to the wife of recently deceased Nobel Peace laureate Liu Xiaobo by Chinese agents. Earlier, Chinese authorities had said Liu Xia, who has been under effective house arrest since her husband won the Nobel Peace Prize in 2010, was free to leave the country if she wishes. Xiaobo died of liver cancer earlier this month."
851,12-year-old girl mowed down by Army vehicle in Kashmir,"A 12-year-old girl was mowed down by an Army vehicle in south Kashmir's Shopian on Thursday, the police said. ""Aroofa Farooq...was hit and injured by an Army vehicle near her residence this morning,"" an official said. Protests erupted in the area after she succumbed to her injuries after being taken to a hospital."
852,"Madonna gets auction of her underwear, letters halted","Singer Madonna has halted the auction of her personal items, including a pair of underwear and some private letters as a judge ruled in her favour. ""The fact that I may have attained celebrity status as a result of success in my career does not obviate my right to maintain my privacy,"" said Madonna. "
853,Kashyap knocks top seed Lee Hyun Il out of US Open,"Indian shuttler Parupalli Kashyap knocked out top seed Lee Hyun Il in the men's singles opening round of the US Open Grand Prix Gold badminton tournament in Anaheim on Wednesday. Kashyap defeated the world rank 15, 21-16, 10-21, 21-19, in a match that lasted for an hour and three minutes. Kashyap next faces Hungary's Gergely Krausz."
854,South Delhi civic body to fine people defecating in open ,"The South Delhi Municipal Corporation (SDMC) has reportedly authorised its health and sanitation officials to fine people defecating in the open. Violators will be fined on the spot and the fine amount has been fixed at ?50. ""Besides issuing challans, we will educate such people with the help of NGOs,"" SDMC Commissioner Puneet Goel said."
855,Ram Nath Kovind elected India's 14th President,"NDA's presidential candidate and former Bihar Governor Ram Nath Kovind was elected India's 14th President on Thursday. He secured a vote value of 7,02,044, over 65% of the total 10,98,882. He defeated the Congress-led Opposition candidate Meira Kumar, who managed to get a vote value of 3,67,314. Kovind is India's second Dalit President, after KR Narayanan."
856,Ask Irani on status of our report on Censor Board: Benegal,"Filmmaker Shyam Benegal said the media should question Information and Broadcasting (I&B) Minister Smriti Irani on what happened to the report submitted by the special committee, which he heads, for reforming the Censor Board. Benegal added, ""Why haven't they taken any action on the proposed changes?"" The report had suggested that board should not impose censoring but only certify movies."
857,"Rashtrapati Bhavan took 17 years to build, has 340 rooms","The Rashtrapati Bhavan, the residence of India's President, took 17 years to finish building, and was earlier the Viceroy's House. The complex has a total of 340 rooms, spread over four floors, and an area of 2,00,000 square feet. A part of the complex are the Mughal Gardens, one of the world's best rose gardens with over 150 varieties."
858,TV actor slams serial on 9-year-old boy marrying adult woman,"Television actor Karan Wahi has slammed the serial Pehredaar Piya Ki, which shows a 9-year-old boy marrying an adult woman, who is said to be his 'bodyguard'. Wahi wrote in a Facebook post, ""Don't sell me stupidity in the name of content which gives TRP because honestly no one is watching this."" He added, ""We can be better than this."""
859,Mall refuses entry to children involved in farmers' protests,"DLF Place Mall in Delhi's Saket on Wednesday reportedly denied entry to children from Maharashtra who are here to participate in a farmers' protest. An organisation had taken the children to the mall for a visit but authorities initially refused entry saying they needed ""special permission"". The group included several children whose parents had committed suicide due to agricultural crisis."
860,Authorities plan night patrols to curb Noida sand mining,"After the police detected illegal sand mining along Yamuna in Greater Noida, the District Magistrate of Noida said that the authorities are planning to start night patrolling along the river to curb the menace. Noting that sand mining takes place mostly at night, the Magistrate instructed the Subdivisional Magistrates to make a list of defaulting sand miners under their jurisdiction."
861,Maharashtra government to buy chopper for VIPs,"The Maharashtra government is planning to invite global tenders for purchasing a chopper for the VIPs of the state. It comes after the CM had survived a chopper crash in May, following which, private agencies were suspended from flying VIPs of the state. A government official said that the chopper is likely to be a modern Sikorsky S76 or Bell."
862,Makeshift 'illegal' shops demolished by Noida authority,"Noida authority officials on Monday demolished around thirty makeshift shops near Sector 78 after residents demanded for removal of 'illegal encroachments'. This comes after over 300 protestors, mostly domestic helps, gathered outside a housing complex last week, alleging that one of its residents had assaulted a domestic help. Noida authority has however claimed that it was a routine demolition."
863,India's first Food Truck Park opens in Mumbai,"India's first Food Truck Park has opened in Bandra, Mumbai. The 5,000 sq foot Mumbai Food Truck Park houses the Bombay Food Truck Company, Hungry JD's, Mumbai Fusion, Pettoos, The Waffle Truck and Scoopalicious. The Mumbai Food Truck Park will stay open all-year from 12 pm to 10 pm.  "
864,"US ends laptop ban on flights from Middle East, North Africa","The US has ended a four-month ban on flyers carrying laptops on US-bound flights from airports in North Africa and the Middle East. Last month, officials announced new security requirements for all airlines rather than an extension of the laptop ban. The UK continues to enforce a similar electronics ban on flights from several Middle Eastern airports. "
865,Kangana gets injured by prop sword on sets of Manikarnika,"Kangana Ranaut got injured on the sets of Manikarnika- The Queen Of Jhansi after being accidentally struck by a prop sword on her forehead. She reportedly received 15 stitches on her forehead on being hospitalised. Kangana said, ""I am a bit embarrassed to be thrilled to have a battle scar on my face... I got a...glimpse of the Queen's life."""
866,"185 Air India safety violations in 3 yrs, 3 by IndiGo: Govt","Union Minister Jayant Sinha on Thursday said Air India, along with its subsidiaries Air India Express and Alliance Air, recorded the maximum number of safety violations in the last three years at 185. It was followed by Jet Airways and SpiceJet, which recorded 154 and 142 instances of safety violations respectively. Meanwhile, IndiGo recorded only three cases of safety violations. "
867,Haryana govt gives ?5L to Jolly LLB 2 actor who has cancer,"The Haryana government has given ?5 lakh to Jolly LLB 2 actor Sitaram Panchal who is suffering from cancer. Filmmaker Ashwini Chaudhary, who had approached Haryana government, thanked the authorities, while adding, ""Other members of the industry are also coming forward to help."" Also known for films like Paan Singh Tomar and Peepli (Live), Sitaram sought financial help on Facebook."
868,"Doctor abducted by Ola driver, rescued after shootout in UP","A doctor, allegedly abducted on July 6 from Delhi by an Ola cab driver, was rescued on Wednesday from Meerut after a shootout between a joint team of Delhi Police and UP Special Task Force and the kidnappers. Reportedly, three men helped the driver in the kidnapping and demanded ?5 crore as ransom from Ola instead of the doctor's family."
869, Village adopted by Manoj Tiwari has free WiFi but no water,"Delhi village Kadipur has free WiFi with 24-hour connectivity but lacks basic civic amenities like regular water supply. The village, which was adopted by BJP MP Manoj Tiwari in 2014, also faces issues like broken roads and choked drains. ""It would have been better if the government fixed this (water supply) instead of spending on internet connectivity,"" a resident said."
870,India's top-ranked shot putter Manpreet suspended for doping,"Following her failed dope test, India's top-ranked female shot putter Manpreet Kaur has been suspended by the Athletics Federation and is set to lose her gold medal which she won at the 22nd Asian Athletics Championships. Kaur will also miss next month's World Championships for which she had qualified for by winning the Asian Athletics Championships gold medal."
871,"Pak claims firing by Indian side killed soldier, 2 civilians","The Pakistan military said in a statement on Wednesday that firing by the Indian side claimed lives of a soldier and two civilians. It added that seven others, including two soldiers, were injured in the firing across the Line of Control (LoC). Further, it said that the attack was unprovoked, leading to their forces returning fire."
872,Explained: Procedure of counting votes in Presidential polls,"The counting of votes in the Presidential election takes place under the supervision of the Returning Officer. The invalid votes, ones which are not cast in the prescribed format, are removed first. The ballot box of the Parliament House is opened first, while those of the states follow next, in an alphabetical order. There are total eight rounds of counting."
873,Counting of votes for electing India's 14th President begins,"The counting of votes for electing India's 14th President began at 11am under the supervision of the Returning Officer. The invalid votes, ones which are not cast in the prescribed format, will be removed first. The ballot box of the Parliament House will be the first to be opened, while those of the states will follow next, in alphabetical order."
874,210 govt websites display personal info of Aadhaar holders,"Parliament on Wednesday was informed that about 210 official websites of central and state governments publicly display personal details, including the Aadhaar number, of the beneficiaries under various schemes. MoS for IT PP Chaudhary said that UIDAI has taken note of the problem and has been monitoring the status regularly to get the Aadhaar data removed from the said websites."
875,Kids of farmers who committed suicide join protest in Delhi,The children of farmers from states like Tamil Nadu and Maharashtra who committed suicide due to farm debts have joined the protest at Jantar Mantar in Delhi. The children are demanding a waiver of loans and financial help for the families of the farmers. They also staged a street play showing the family's plight after a farmer commits suicide.
876,First ever double hand transplant on a child successful,"Almost two years after eight-year-old Zion Harvey from the US became the first-ever child to receive a double hand transplant, the doctors involved have declared the operation successful. The kid had both his hands and feet amputated aged two due to sepsis infection. He underwent eight rejections of hands after the surgery, but they were reversed using immunosuppression drugs."
877,Swedish train named 'Trainy McTrainface' after public vote,"After the British public voted to name a polar research vessel Boaty McBoatface, Sweden has voted to name a train Trainy McTrainface. Trainy McTrainface received 49% of the votes, beating options like Poseidon and Miriam. Swedes have previously named trains Estelle, after the five-year-old Swedish Princess, and Glenn, after a long-running joke that everyone in Gothenburg city is named Glenn."
878,DDA clears plan to revamp Delhi's Basant Lok complex,"The Delhi Development Authority (DDA) has cleared a proposal to revamp the Basant Lok market complex in Delhi. The new project will include extra parking, more toilets, an amphitheatre, upgraded buildings, and electrical and fire-fighting mechanisms among other facilities. The authority has allocated ?10 crore for the project which is expected to start in the next three months."
879,Shastris and Kumbles will come and go: Ravi Shastri,"After replacing Anil Kumble as the Indian cricket team's head coach, Ravi Shastri said ""Shastris and Kumbles will come and go"", but fabric of the team remains. ""I've matured a lot in the last two weeks...I don't come with any baggage. The team has done exceedingly well in the last three years, they're the people who deserve credit,"" said Shastri."
880,Assam's only African white rhino dies without a mate at 47,"Assam's lone African white rhino, Mohan died at the age of 47 in the zoo on Tuesday. The zoo officials failed to find him a female partner in over four decades of his stay. Mohan, who was brought from US in 1974, often suffered from mood swings and exhibited violent tendencies which officials attributed to his ""frustration over sexual inactivity""."
881,No need for separate law on mob lynching: Home Ministry,"Minister of State for Home Affairs Hansraj Ahir said on Wednesday that the government is not considering a separate law to tackle mob lynching incidents, in response to Congress leader Digvijaya Singh's question in the Rajya Sabha. ""The state governments can take action against person or persons involved in such incidents under existing laws,"" he added."
882,Indian jails no less than ones there: India to UK on Mallya,"India has told the UK that the jails in India are no less than the ones in European nations, and extradited individuals will be lodged in proper jails. The statement comes after Vijay Mallya challenged India's extradition move saying Indian jails are ""below standard"". Further, Maharashtra has been instructed to improve the Arthur Road jail, where Mallya will be lodged."
883,Indian-origin man becomes UK's youngest doctor,"An Indian-origin man, who studied in Gujarat until he was 13, has become UK's youngest ever doctor. Arpan Doshi got accepted for a medical course when he was 17 and graduated at the age of 21 years and 335 days. Doshi, who is due to start work next month, beat the previous record by 17 days."
884,5 booked for stopping tempo carrying buffalo meat in Mumbai,Five people have been booked by the Navi Mumbai police for allegedly stopping a tempo carrying meat. The driver reportedly had a certificate to show that it was buffalo meat being transported legally but the five accused claimed they were journalists and insisted he pay a fine and destroy the consignment. Police tested and confirmed that it was buffalo meat. 
885,"VHP 'religious soldiers' to fight love jihad, cow smuggling","The Vishwa Hindu Parishad (VHP) has decided to recruit 5,000 'religious soldiers' in Uttar Pradesh's Aligarh district, to control cow smuggling and love jihad in the region. Only Bajrang Dal activists who have completed bravery training will be eligible for the post, recruitment for which will start in September. They will also protect ""Hindu boys and girls, maths and temples""."
886,"Withdraw, get captured or killed: Ex-China diplomat to India","A former Chinese diplomat, Liu Youfa, told Chinese state media that India has three possibilities, they can pull out voluntarily, can be captured, or if the dispute escalates, can get killed. ""The Chinese side is standing there waiting for India to make a sensible choice, which is the first scenario (withdrawal of troops),"" Youfa added."
887,"Right to privacy not absolute, may be regulated: SC","The Supreme Court on Wednesday observed that the right to privacy is not absolute and the state may put reasonable restrictions on it. Privacy is an ""amorphous"" term and defining it would be impossible, the court added. It further referred to the issue of data protection and said that its ambit was ""much wider"" than the right to privacy. "
888,J'khand doctors operate woman's right kidney instead of left,"Doctors of a medical institute in Jharkhand operated on the right kidney of a patient when the stones were detected in the left one. After the patient's husband pointed out the mistake to the doctors, they assured him of treatment in a private hospital but later asked them to leave. The Urology department's head blamed junior doctors for the mistake."
889,NHAI approves Delhi rapid transit projects worth ?50k crore,"The National Highways Authority of India (NHAI) has approved Delhi-Panipat and Delhi-Alwar Regional Rapid Transit Systems projects worth ?53,500 crore. A ground survey for aligning the projects has already been done and building them along national highways would reportedly reduce time and cost. The NHAI also agreed to take up a project to decongest Delhi by connecting three national highways."
890,No interference in Jayalalithaa's treatment: Apollo Hospital,"Apollo Hospitals on Tuesday said that there was ""no interference"" in the medical treatment given to former Tamil Nadu Chief Minister J Jayalalithaa and that they are ready to face any probe. This comes after several political parties have demanded a detailed probe into the treatment given to Jayalalithaa and the circumstances that led to her hospitalisation. "
891,"Sasikala was allowed 23 jail visits, instead of 8: RTI ","An RTI reply has revealed that AIADMK leader Sasikala was allowed 23 prison visits over the past 4 months, instead of the stipulated eight, according to reports. This is allegedly in violation of the prison rules which state that convicts can be allowed only one visit in a fortnight. Sasikala met around 48 visitors during these visits, the reports added. "
892,"J&K govt spent ?2,000 crore violating budgetary provisions","The J&K government has spent nearly ?2,000 crore during the financial year 2015-2016 in ""violation of budgetary provisions"", a Comptroller and Auditor General report said. According to the budget manual, no expenditure should be incurred on a scheme or service without a budgetary provision. The Social Welfare department spent nearly ?534 crore, the highest without budgetary provision."
893,Mob sets police station on fire after accused killed in jail,"A mob of around 3,000 people on Wednesday set a police station in Shimla on fire after a rape accused was murdered in police custody. The accused, Suraj Singh, was allegedly murdered by a co-accused in the gangrape following a scuffle. The two suspects fought after Singh reportedly blamed the entire incident on the co-accused. "
894,Trump orders Republicans to 'let Obamacare fail',"After efforts to repeal and replace Barack Obama's Affordable Care Act collapsed, US President Donald Trump has said that Republicans should ""let Obamacare fail"". ""I think we're probably in that position where we'll let Obamacare fail. We're not going to own it. I'm not going to own it,"" Trump added. Notably, around 2 crore people gained health coverage under Obamacare."
895,"I choose Roger, Roger chooses me in video games: Sachin","Former cricketer Sachin Tendulkar has said he and Wimbledon champion Roger Federer connect over PlayStation. ""Roger follows cricket... When he is playing video games, he prefers Sachin and when I am playing any racquet game, I prefer to be Roger,"" said Sachin. The cricketer was present at the semi-final, where Federer defeated Tom ? Berdych to reach his 11th Wimbledon final."
896,BCCI cuts short Kohli's 1st interview post coach appointment,"BCCI intervened and cut short Indian captain Virat Kohli's first official media interaction after the appointment of Ravi Shastri as the team's head coach. The media interaction, which was the last before the team left for the Sri Lanka tour on Wednesday, was supposed to be 15 minutes long but was cut short to 10 minutes."
897,New Zealand gangs plan 'fight club' to relieve tension,"Gang members in New Zealand are reportedly planning to organise a 'fight club' involving boxing matches between rival gangs that leaders hope will present a way to vent tension. The organisers claimed that a series of killings in Northland last year had escalated gang tensions. Notably, 80% of violence in the region is related to disputes over drugs."
898,Russia claims fidget spinners are tools of opposition,"The Russian state consumer watchdog has warned that fidget spinners are harmfully addictive to children and that they could make people vulnerable to messages of the political opposition. Claiming that using spinners could manipulate people, officials observed that ""it is not by chance that they have started selling spinners"" at opposition rallies."
899,"Pakistan providing ""safe havens"" to terrorists: US","The US on Wednesday listed Pakistan among a list of nations providing ""safe havens"" to terrorists and said groups like Lashkar-e-Taiba and Jaish-e-Mohammed continue to operate and organise in the country. The annual 'Country Report on Terrorism' said, ""Pakistan did not take sufficient action"" against the groups and did not limit their ability to threaten US interests in Afghanistan."
900,Bhansali to launch Jaaved Jaaferi's son Meezan in Bollywood,"Filmmaker Sanjay Leela Bhansali will launch actor Jaaved Jaaferi's son Meezan in Bollywood. Meezan, who has assisted Bhansali on the film Bajirao Mastani, was said to be chosen after auditioning for the role. Bhansali will reportedly be co-producing the film under Bhansali Productions while it will be directed by Mangesh Hadawale, known for directing the Marathi film Tingya."
901,Airlines lift ban on MP who manhandled airline staff,"Four airlines including IndiGo, Air India, SpiceJet, and Vistara on Wednesday lifted their ban on Telugu Desam Party MP Diwakar Reddy. The parliamentarian was banned by seven airlines after he allegedly manhandled IndiGo staff last month when they did not let him board an aircraft. Reportedly, Reddy has also agreed to withdraw the case he had filed against the airlines."
902,Maha hikes compensation for rape survivors to ?10 lakh ,"The Maharashtra government has decided to increase the compensation for rape and acid attack survivors from ?3 lakh to ?10 lakh. Adding that the compensation was categorised for different cases, officials said the maximum compensation will be provided to survivors of the most horrific acts of violence, leading to physical and mental disability."
903,Govt launches 'mAadhaar' app for Aadhaar data on phone,"The Unique Identification Authority of India has launched 'mAadhaar', a new app for syncing Aadhaar data on mobile phones. The app allows users to carry their Aadhaar information including name, date of birth, gender, address, and the linked photograph, on their smartphones. The app also allows users to lock or unlock biometrics data."
904,Most Indian men are male chauvinist pigs: Bhumi Pednekar,"Actress Bhumi Pednekar has said that in her opinion, most Indian men are MCPs (male chauvinist pigs). ""The people that need to blamed are those mothers and fathers who are inculcating these dated, old-school teachings to their sons,"" added Bhumi. She further questioned, ""How is it OK for you to eve-tease a girl or touch her inappropriately?"""
905,Director defends Ed Sheeran's cameo in Game of Thrones,"The director of Game of Thrones season 7's premiere episode, Jeremy Podeswa, has defended Ed Sheeran's cameo and said he did a ""lovely job"". ""He was appropriate for the part because he needed to sing. If people didn't know who Ed was, they wouldn't have thought about it twice,"" he added. Jeremy further said people interrogated the cameo too much."
906,Mumbai Police may close AIB's PM Modi meme case: Report,"As per reports, Mumbai Police may close the case against comedy group AIB for posting a meme on PM Modi on Twitter as ""the case is weak"". Earlier, the police charged AIB of obscenity and defamation after receiving a complaint on the official Mumbai police Twitter handle. Legal experts had commented that Modi's consent was required for the defamation case."
907,Sachin recollects how Lillee made him give up fast bowling,"Sachin Tendulkar, while wishing former Australian pacer Dennis Lillee on his 68th birthday, revealed that it was Lillee who advised him to forget about becoming a fast bowler. Sachin said that when he visited the MRF Pace Foundation in Chennai in 1987 to hone his fast bowling skills, Lillee noticed his batting skills and asked him to stick to batting."
908,Mumbai man arrested for breaking LCD screen on Tejas Express,"The Railway Protection Force (RPF) on Tuesday arrested a man who broke an LCD screen on the luxury train Tejas Express. The accused was presented before a court where he was fined ?22,000 for damaging government property. The RPF reportedly traced the man using mobile call data records and the passenger reservation chart. "
909,Surat textile traders call off protest against GST,"Textile traders in Surat on Tuesday called off their two-week-long strike against the imposition of 5% tax on textiles under the GST regime. This comes after Finance Minister Arun Jaitley assured them that the GST Council will discuss this next month. The traders had shut their shops, resorted to stone-pelting and carried out a silent march against the tax."
910,Mohammed Shami trolled for daughter's b'day celebration pics,"Indian pacer Mohammed Shami was trolled on social media after he posted pictures of his wife during their daughter's second birthday celebrations. The cricketer was trolled with many users commenting that his wife committed a ""sin"" by not wearing a hijab. Shami was subjected to similar treatment last year after he posted his wife's picture in a sleeveless dress."
911,Malayalam news channel starts period leave for women workers,"Malayalam news channel Mathrubhumi has announced a 'First Day of Period' leave for its female employees. The additional leave will not be counted under sick leave, and will soon be extended to the company's online and print ventures. ""We felt that it was a very good and practical practice to adopt. And so the decision was taken,"" the company said."
912,BJP to launch separate cell for young women in Delhi,"The Bharatiya Janata Party in Delhi plans to launch a separate cell for young women between the age group of 18 to 25 years for the first time, according to reports. The independent 'Yuvti Prakoshth' (Young Women's Cell) will focus on those females who stay at home and are not politically active due to different reasons, the reports added."
913,Disney criticised for casting non-Arab actress as Jasmine,"Disney has been criticised for casting Naomi Scott, who is of British-Indian descent, to portray Princess Jasmine in the live-action version of Aladdin. ""All these Arab actresses...and they cast half-white, half-Indian Naomi Scott as Jasmine. Indian isn't middle-eastern, Hollywood,"" tweeted a user. ""I don't love the ""brown ppl are interchangeable"" idea that H'wood believes in,"" wrote another user."
914,"White House confirms Trump, Putin had undisclosed meeting","US President Donald Trump and his Russian counterpart Vladimir Putin held a previously undisclosed second meeting during the G20 Summit in Germany, the White House has confirmed. This came after Iran Bremmer, President of the international consulting firm Eurasia Group, publicly spoke about the second meeting. Notably, Trump, Putin's official meet at the summit lasted for over 2 hours."
915,Reports of depression among IT employees exaggerated: Pai,"Reports of job insecurity leading to high levels of anxiety and depression among IT professionals in India are baseless and exaggerated, former Infosys director Mohandas Pai said. He said such reports are based on a few events and there are attempts to blow them up. Pai further dismissed the forecast that six lakh jobs could be slashed over three years."
916,Actor rescued after being trapped at waterfall for 3 days,"Paul Nicholls, a British actor who worked on shows like EastEnders and Ackley Bridge, has been rescued three days after he was trapped at the base of a jungle waterfall in Thailand's Koh Samui island. He was found partially submerged in a rock pool, semi-conscious and with hypothermia. ""I am lucky to be alive,"" said Nicholls."
917,Haasan threatened with ?100 cr lawsuit over Bigg Boss row,"The leader of political party Puthiya Tamizhagam has threatened to file a ?100 crore defamation case against Kamal Haasan and a Tamil TV channel for not apologising over a contestant's 'derogatory' comment during the Tamil version of Bigg Boss. ""[He] did not... condemn it or talk about this in the show despite many people raising this issue,"" the leader added."
918,Sri Lankan sports minister backs probe into 2011 WC loss,"Sri Lanka's Sports Minister has given his support for an official probe into the national side's loss in the final of the ICC Cricket World Cup 2011. The Sri Lanka cricket team lost the World Cup final by six wickets at Mumbai's Wankhede Stadium. It is alleged that four last-minute squad changes were made, without the minister's customary approval."
919,DDLJ show at Maratha Mandir cancelled for 1st time in 22 yrs,Dilwale Dulhania Le Jayenge's matinee show at Mumbai's Maratha Mandir was cancelled for the first time in 22 years as the cinema hall held the screening of Shraddha Kapoor's film Haseena Parkar's trailer. This also marked the first time that the iconic theatre held a film's trailer screening. The makers chose the venue as Parkar lived close to Maratha Mandir.
920,Kamal Haasan made ambassador of Kabaddi team Tamil Thalaivas,"Actor Kamal Haasan has been appointed as the ambassador of the new Kabaddi team Tamil Thalaivas for the fifth season of Pro Kabaddi League. Haasan added, ""I am honoured to associate myself strongly with the sport of Kabaddi. I take personal pride in highlighting...a sport developed by my ancestors thousands of years ago."" Tamil Thalaivas is co-owned by Sachin Tendulkar. "
921,Drip irrigation mandatory for sugarcane crop in Maharashtra,"The Maharashtra government on Tuesday said that it will make drip irrigation mandatory for sugarcane cultivation after 2019. For this purpose, the state will also provide a loan at an interest rate of 2% to the farmers. Drip irrigation is not only expected to raise the sugarcane production but also help in conserving water."
922,Rail officials propose installing CCTVs at Mumbai stations,The Western and Central railway authorities have sent a proposal to the Ministry of Railways for installing CCTV cameras in the suburban stations of Mumbai to supervise cleanliness. The station masters' cabins will have TV screens to monitor the same. Officials said that CCTV cameras have already been installed at Churchgate and Mumbai Central stations as part of pilot project.
923,Tamil Nadu almost doubles MLAs' salary to over ?1 lakh,"Tamil Nadu government has almost doubled the salary of MLAs in the state from ?55,000 to ?1.05 lakh on Wednesday. The move comes when the farmers in the state have been protesting for loan waiver and better crop prices. Reportedly, the state government also announced an increase in MLAs' Local Area Development Fund from ?2 crore to ?2.5 crore."
924,Deleted nude clip of Kannada actress from film leaked online,"A deleted nude scene from the film Dandupalya 2, which shows Kannada actress Sanjjanaa Galrani being physically abused by jail authorities, has been leaked online. The scene was reportedly deleted following objections by the regional censor board. Sanjjanaa said, ""We are figuring out who is behind the leak and will give a complete clarification once director Srinivasa Raju...returns."""
925,Big B reveals he wrestled a real tiger in Khoon Pasina,"Amitabh Bachchan has revealed that he wrestled a real tiger in the 1977 film 'Khoon Pasina'. ""Fighting a real tiger for 'Khoon Pasina'... a real task... shared it with stunt directors of today... they thought I was mad,"" he wrote on Twitter while sharing a photo from the film's set. The film also starred Rekha and late actor Vinod Khanna."
926,Lalu Prasad offers Mayawati a Rajya Sabha seat from Bihar,"RJD supremo Lalu Prasad Yadav on Wednesday offered BSP chief Mayawati a Rajya Sabha seat from Bihar to ""fight against atrocities and divisive agenda of BJP"". This comes a day after Mayawati resigned as a Member of Parliament in Rajya Sabha in protest claiming that she was not allowed to speak in the House. "
927,Athlete to get record third gold 6 years after world c'ships,"British athlete Jessica Ennis-Hill is set to receive a record-equalling third heptathlon world championship gold medal for the 2011 event in South Korea. This comes after Russia's gold medallist Tatyana Chernova lost her appeal against a retrospective ban for taking steroids. Ennis-Hill, who had won gold medals in Berlin in 2009 and Beijing in 2015, said, ""Triple world champion. Wow!"""
928,Despacito beats Bieber's Sorry to become most streamed song,"The song Despacito by Puerto Rican artists Luis Fonsi and Daddy Yankee and its remix featuring Justin Bieber beat the 2015 song Sorry, also by Bieber, to become the most streamed track ever. Despacito has recorded 4.6 billion plays across platforms. The Despacito remix has also been leading the Billboard Hot 100 chart for the 10th week."
929,India's top-ranked shot putter Manpreet Kaur fails dope test,"India's top-ranked shot putter Manpreet Kaur has failed an in-competition dope test conducted by the National Anti Doping Agency (NADA). The national record holder, who won a gold medal at the recently concluded Asian Athletics Championships, failed the test during the Federation Cup in Patiala from June 1-4. Notably, Kaur is still eligible for August's World Athletics Championships in London."
930,Dangal didn't apply for nominations at IIFA: Show organisers,"The organisers of IIFA 2017 have explained that the makers of the film Dangal did not send in an entry for nominations at the award show. ""We would love Dangal to be a part of [the nominations],"" said Andre Timmins, the Director of Wizcraft International. He further said the organisers were sad that Dangal's makers didn't send in their entry."
931,Never said can't cast fair actors with Nawaz: Casting head,"The casting director of Babumoshai Bandookbaaz, Sanjay Chouhan, has said he never made the remark that fair actors cannot be cast with Nawazuddin Siddiqui. ""All I said was the film needed actors as good as Nawazuddin. You need actors who could match his stature,"" he added. Sanjay further said he would never want to hurt Nawazuddin by giving such statements."
932,Nagaland CM fails to come up for floor test,"Nagaland CM Shurhozelie Liezietsu and nine other ruling legislators didn't turn up for the floor test on Wednesday, following which the assembly speaker adjourned the house. Ex-CM TR Zeliang had staked claim to power saying he had the support of 47 legislators in the 60-member assembly. CM Liezietsu's petition challenging the floor test was dismissed by the Gauhati high court."
933,"BMC demolishes nearly 150 illegal shop extensions, stalls","The Brihanmumbai Municipal Corporation on Tuesday demolished over 100 illegal shop extensions and 40 stalls near Santacruz station. The action was part of a drive by the corporation to free the public spaces from encroachments. The officials said that some of the stalls, which were at least four years old, did not have licenses to erect the sheds."
934,Mumbai man arrested for stealing data from a digital company,The Mumbai police on Monday arrested a 60-year-old man for stealing sensitive data from a digital company. He allegedly also tried to blackmail the owner of the company by demanding ?8 crore to withhold the confidential data from a contending company. The police reportedly also found sensitive data of 25 other companies from his apartment. 
935,"Cheesemaker offers ?42,000 reward to recover stolen cheese","A cheesemaker from England is offering nearly ?42,000 reward for the recovery of two blocks of prize-winning cheddar cheese stolen from an agricultural show. The two blocks were stolen along with the certificates that prove their prize-winning quality which could raise their value. ""It's a bit like having a valuable painting stolen,"" said cheesemaker Rich Clothier."
936,Guj firm to give 'Made in India' phones to its 400 dealers,"Amidst ongoing tensions between India and China, a Gujarat-based firm has asked its associates and 400 dealers to stop using their Chinese phones and promised to give Made in India phones in return. The posts on Facebook by the firm asked people to fulfil their duties as Indian citizens and encourage Indian forces defending our borders by boycotting Chinese goods."
